Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
luciano abecasis,ar ARG,DF,Ind. Rivadavia,33,1990,10.4,0,1,0.2,0.7,7,0,282,412,68.45,27,18,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
luciano boggio,it ITA,MF,Lanús,24,1999,7.4,0,0,0.3,1.1,9,3,278,347,80.12,7,4,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
luciano cingolani,ar ARG,MF,Godoy Cruz,22,2001,0.4,0,0,0.0,0.0,0,0,6,11,54.55,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
luciano ferreyra,ar ARG,MF,Platense,21,2002,0.1,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
luciano gimenez,ar ARG,"FW,MF",Estudiantes–LP,23,2000,7.5,0,3,1.7,0.9,19,4,114,201,56.72,11,9,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
luciano gomez,ar ARG,DF,Ind. Rivadavia,27,1996,4.4,0,0,0.2,0.3,3,2,141,188,75.0,8,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
luciano gondou,ar ARG,FW,Arg Juniors,22,2001,5.9,1,0,1.2,0.1,15,7,93,140,66.43,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
luciano lollo,ar ARG,DF,Estudiantes–LP,36,1987,18.7,0,0,0.4,0.1,10,2,899,1089,82.55,18,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0
luciano ramon herrera,ar ARG,"FW,MF",Defensa y Just,27,1996,16.6,1,2,2.6,2.5,33,11,276,397,69.52,24,19,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
luciano recalde,ar ARG,DF,Banfield,28,1995,4.1,0,0,0.1,0.0,1,0,84,135,62.22,4,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
luciano vietto,ar ARG,"FW,MF",Racing Club,30,1993,3.8,3,0,1.0,0.3,10,4,79,118,66.95,8,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0
luis advincula,pe PER,DF,Boca Juniors,33,1990,16.0,0,2,0.8,0.7,18,3,622,761,81.73,15,11,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
luis angulo,co COL,"MF,FW",Platense,19,2004,0.7,0,0,0.0,0.3,0,0,13,16,81.25,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
