name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
mathias de ritis,2003,uy URU,DF,Banfield,21.0,False,2024,ARG1,
matias abaldo,2004,uy URU,FW,Gimnasia–LP,19.0,False,2024,ARG1,
matias acevedo,2008,ar ARG,MF,Racing Club,15.0,False,2024,ARG1,
matias catalan,1992,cl CHI,DF,Talleres,31.0,False,2024,ARG1,
matias contrera,2005,ar ARG,FW,Estudiantes–LP,18.0,False,2024,ARG1,
matias de los santos,1992,uy URU,DF,Atlé Tucumán,31.0,False,2024,ARG1,
matias diaz,2004,ar ARG,MF,Cen. Córdoba–SdE,19.0,False,2024,ARG1,
matias espindola,2003,ar ARG,"MF,DF",Tigre,20.0,False,2024,ARG1,
matias esquivel,1999,ar ARG,"MF,FW",Talleres,24.0,False,2024,ARG1,
matias galarza,2002,py PAR,"MF,FW",Talleres,21.0,False,2024,ARG1,
matias gimenez,1999,ar ARG,MF,Independiente,24.0,False,2024,ARG1,
matias godoy,2002,ar ARG,"FW,MF",Cen. Córdoba–SdE,22.0,False,2024,ARG1,
matias gomez,2003,ar ARG,FW,Huracán,20.0,False,2024,ARG1,
matias gonzalez,2002,ar ARG,MF,Banfield,21.0,False,2024,ARG1,
matias kranevitter,1993,ar ARG,MF,River Plate,30.0,False,2024,ARG1,
matias mansilla,1996,ar ARG,GK,Estudiantes–LP,27.0,True,2024,ARG1,
matias marin,1999,cl CHI,"MF,FW",Belgrano,24.0,False,2024,ARG1,
matias miranda,2000,ar ARG,MF,Gimnasia–LP,23.0,False,2024,ARG1,
matias moreno,2003,ar ARG,DF,Belgrano,20.0,False,2024,ARG1,
matias orihuela,1992,ar ARG,"DF,MF",Atlé Tucumán,31.0,False,2024,ARG1,
matias pellegrini,2000,ar ARG,FW,Vélez Sarsfield,23.0,False,2024,ARG1,
matias perello,2001,ar ARG,"FW,MF",Arg Juniors,22.0,False,2024,ARG1,
matias ramirez,1999,ar ARG,FW,Gimnasia–LP,24.0,False,2024,ARG1,
matias reali,1997,ar ARG,"FW,MF",San Lorenzo,26.0,False,2024,ARG1,
matias rosales,2005,ar ARG,"DF,MF",Sarmiento,18.0,False,2024,ARG1,
matias ruiz diaz,1996,ar ARG,DF,Ind. Rivadavia,27.0,False,2024,ARG1,
matias sosa,2001,ar ARG,"FW,MF",Defensa y Just,22.0,False,2024,ARG1,
matias suarez,1988,ar ARG,"FW,DF",Belgrano,35.0,False,2024,ARG1,
matko miljevic,2001,us USA,"MF,FW",Newell's OB,22.0,False,2024,ARG1,
mauricio asenjo,1994,ar ARG,FW,Ind. Rivadavia,29.0,False,2024,ARG1,
mauricio cardillo,2003,ar ARG,"MF,DF",Ind. Rivadavia,20.0,False,2024,ARG1,
mauricio isla,1988,cl CHI,DF,Independiente,35.0,False,2024,ARG1,
mauricio martinez,1993,ar ARG,"MF,DF",Rosario Central,30.0,False,2024,ARG1,
mauricio roldan,2005,ar ARG,FW,Banfield,18.0,False,2024,ARG1,
mauro luna diale,1999,ar ARG,MF,Unión,24.0,False,2024,ARG1,
mauro maidana,1990,ar ARG,DF,Ind. Rivadavia,33.0,False,2024,ARG1,
mauro mendez,1999,uy URU,"FW,MF",Estudiantes–LP,25.0,False,2024,ARG1,
mauro pitton,1994,ar ARG,MF,Unión,29.0,False,2024,ARG1,
maxi gonzalez,2004,ar ARG,MF,Lanús,19.0,False,2024,ARG1,
maximiliano brito,1991,uy URU,FW,Deportivo Riestra,32.0,False,2024,ARG1,
maximiliano lovera,1999,ar ARG,"FW,MF",Rosario Central,24.0,False,2024,ARG1,
maximiliano meza,1992,ar ARG,"MF,FW",River Plate,31.0,False,2024,ARG1,
maximiliano puig,2000,ar ARG,"MF,DF",Barracas Central,23.0,False,2024,ARG1,
maximiliano rodriguez,1988,ar ARG,"DF,MF",Deportivo Riestra,35.0,False,2024,ARG1,
maximiliano romero,1999,ar ARG,FW,Arg Juniors,25.0,False,2024,ARG1,
maximiliano salas,1997,ar ARG,"FW,MF",Racing Club,26.0,False,2024,ARG1,
maximiliano urruti,1991,ar ARG,FW,Platense,32.0,False,2024,ARG1,
maximiliano zalazar,2001,ar ARG,"FW,MF",Barracas Central,22.0,False,2024,ARG1,
maximo oses,2005,ar ARG,"FW,MF",Belgrano,18.0,False,2024,ARG1,
michael santos,1993,uy URU,"FW,MF",Vélez Sarsfield,30.0,False,2024,ARG1,
miguel angel torren,1988,ar ARG,DF,Unión,35.0,False,2024,ARG1,
miguel barbieri,1993,ar ARG,DF,Rosario Central,30.0,False,2024,ARG1,
miguel borja,1993,co COL,FW,River Plate,31.0,False,2024,ARG1,
miguel brizuela,1997,ar ARG,DF,Instituto,27.0,False,2024,ARG1,
miguel merentiel,1996,uy URU,FW,Boca Juniors,27.0,False,2024,ARG1,
miguel navarro,1999,ve VEN,DF,Talleres,24.0,False,2024,ARG1,
milton casco,1988,ar ARG,DF,River Plate,35.0,False,2024,ARG1,
milton celiz,1992,ar ARG,MF,Deportivo Riestra,31.0,False,2024,ARG1,
milton delgado,2005,ar ARG,MF,Boca Juniors,18.0,False,2024,ARG1,
milton gimenez,1996,ar ARG,FW,Banfield,27.0,False,2024,ARG1,
misael jaime,2004,ar ARG,"FW,MF",Newell's OB,20.0,False,2024,ARG1,
moises brandan,2000,ar ARG,DF,Atlé Tucumán,23.0,False,2024,ARG1,
nahuel banegas,1996,ar ARG,DF,Tigre,27.0,False,2024,ARG1,
nahuel barrios,1998,ar ARG,"MF,FW",San Lorenzo,25.0,False,2024,ARG1,
nahuel bustos,1998,ar ARG,MF,San Lorenzo,25.0,False,2024,ARG1,
nahuel gallardo,1998,ar ARG,DF,Ind. Rivadavia,25.0,False,2024,ARG1,
nahuel genez,2003,ar ARG,DF,Tigre,20.0,False,2024,ARG1,
nahuel losada,1993,ar ARG,GK,Lanús,30.0,True,2024,ARG1,
nahuel manganelli,2001,ar ARG,GK,Deportivo Riestra,22.0,True,2024,ARG1,
nazareno colombo,1999,ar ARG,DF,Racing Club,24.0,False,2024,ARG1,
nehuen benedetti,2005,ar ARG,MF,Estudiantes–LP,18.0,False,2024,ARG1,
nehuen paz,1993,ar ARG,DF,Tigre,30.0,False,2024,ARG1,
nelson insfran,1995,ar ARG,GK,Gimnasia–LP,28.0,True,2024,ARG1,
nery dominguez,1990,ar ARG,"DF,MF",Lanús,33.0,False,2024,ARG1,
nestor breitenbruch,1995,ar ARG,DF,Atlé Tucumán,28.0,False,2024,ARG1,
nicolas benegas,1996,ar ARG,FW,Deportivo Riestra,27.0,False,2024,ARG1,
nicolas blandi,1990,ar ARG,FW,Defensa y Just,34.0,False,2024,ARG1,
nicolas capraro,1998,ar ARG,DF,Barracas Central,25.0,False,2024,ARG1,
nicolas caro,1995,ar ARG,DF,Deportivo Riestra,28.0,False,2024,ARG1,
nicolas castro,1990,ar ARG,MF,Atlé Tucumán,33.0,False,2024,ARG1,
nicolas colazo,1990,ar ARG,"DF,MF",Gimnasia–LP,33.0,False,2024,ARG1,
nicolas cordero,1999,ar ARG,"FW,MF",Arg Juniors,24.0,False,2024,ARG1,
nicolas demartini,1999,ar ARG,DF,Barracas Central,24.0,False,2024,ARG1,
nicolas dematei,1987,ar ARG,DF,Deportivo Riestra,36.0,False,2024,ARG1,
nicolas dubersarsky,2004,ar ARG,MF,Instituto,19.0,False,2024,ARG1,
nicolas fernandez,1996,ar ARG,"FW,MF",Belgrano,27.0,False,2024,ARG1,
nicolas fonseca,1998,uy URU,MF,River Plate,25.0,False,2024,ARG1,
nicolas gaitan,1988,ar ARG,"MF,FW",Sarmiento,35.0,False,2024,ARG1,
nicolas garayalde,1999,ar ARG,MF,Gimnasia–LP,24.0,False,2024,ARG1,
nicolas hernandez,1998,co COL,DF,Banfield,26.0,False,2024,ARG1,
nicolas meriano,2000,ar ARG,DF,Belgrano,23.0,False,2024,ARG1,
nicolas morgantini,1994,ar ARG,DF,Lanús,29.0,False,2024,ARG1,
nicolas oroz,1994,ar ARG,"MF,FW",Arg Juniors,29.0,False,2024,ARG1,
nicolas orsini,1994,ar ARG,FW,Unión,29.0,False,2024,ARG1,
nicolas palavecino,2003,ar ARG,"FW,MF",Defensa y Just,20.0,False,2024,ARG1,
nicolas paz,2002,ar ARG,DF,Unión,21.0,False,2024,ARG1,
nicolas quagliata,1999,uy URU,"FW,MF",Cen. Córdoba–SdE,24.0,False,2024,ARG1,
nicolas romero,2003,ar ARG,DF,Atlé Tucumán,20.0,False,2024,ARG1,
nicolas sanchez,2004,ar ARG,FW,Gimnasia–LP,19.0,False,2024,ARG1,
nicolas sansotre,1993,ar ARG,DF,Deportivo Riestra,30.0,False,2024,ARG1,
nicolas servetto,1996,ar ARG,"FW,DF",Atlé Tucumán,27.0,False,2024,ARG1,
nicolas sumavil,1999,ar ARG,GK,Platense,24.0,True,2024,ARG1,
nicolas tolosa,2001,ar ARG,DF,Barracas Central,22.0,False,2024,ARG1,
nicolas tripichio,1996,ar ARG,"DF,MF",San Lorenzo,28.0,False,2024,ARG1,
nicolas vallejo,2004,ar ARG,"MF,FW",Independiente,20.0,False,2024,ARG1,
norberto briasco,1996,am ARM,"MF,FW",Boca Juniors,27.0,False,2024,ARG1,
octavio ontivero,2006,ar ARG,DF,Lanús,18.0,False,2024,ARG1,
orlando gill,2000,py PAR,GK,San Lorenzo,23.0,True,2024,ARG1,
oscar arias,2005,ar ARG,DF,San Lorenzo,19.0,False,2024,ARG1,
oscar garrido,1997,ar ARG,"DF,MF",Cen. Córdoba–SdE,26.0,False,2024,ARG1,
oscar salomon,1999,ar ARG,"DF,FW",Platense,24.0,False,2024,ARG1,
pablo altamirano,2005,ar ARG,MF,Newell's OB,19.0,False,2024,ARG1,
pablo chavarria,1988,ar ARG,FW,Belgrano,36.0,False,2024,ARG1,
pablo de blasis,1988,ar ARG,"MF,FW",Gimnasia–LP,35.0,False,2024,ARG1,
pablo monje,1997,ar ARG,MF,Deportivo Riestra,26.0,False,2024,ARG1,
pablo piatti,1989,ar ARG,"FW,MF",Estudiantes–LP,34.0,False,2024,ARG1,
pablo siles,1997,uy URU,MF,Huracán,26.0,False,2024,ARG1,
pablo solari,2001,ar ARG,FW,River Plate,22.0,False,2024,ARG1,
patricio pernicone,2001,ar ARG,DF,Vélez Sarsfield,22.0,False,2024,ARG1,
patricio tanda,2002,ar ARG,"MF,DF",Unión,21.0,False,2024,ARG1,
paulo diaz,1994,cl CHI,DF,River Plate,29.0,False,2024,ARG1,
pedro ramirez,2000,ar ARG,"DF,MF",Deportivo Riestra,23.0,False,2024,ARG1,
pedro velurtas,2001,ar ARG,DF,Barracas Central,22.0,False,2024,ARG1,
pier barrios,1990,ar ARG,DF,Godoy Cruz,33.0,False,2024,ARG1,
rafael barrios,1993,ar ARG,"DF,MF",Cen. Córdoba–SdE,30.0,False,2024,ARG1,
rafael ferrario,2000,ar ARG,GK,Barracas Central,23.0,True,2024,ARG1,
rafael marcelo delgado,1990,ar ARG,DF,Belgrano,34.0,False,2024,ARG1,
rafael profini,2003,ar ARG,"DF,FW",Unión,20.0,False,2024,ARG1,
ramiro carrera,1993,ar ARG,"FW,MF",Lanús,30.0,False,2024,ARG1,
ramiro degregorio,2003,ar ARG,MF,Racing Club,20.0,False,2024,ARG1,
ramiro di luciano,2004,ar ARG,DF,Banfield,20.0,False,2024,ARG1,
ramiro funes mori,1991,ar ARG,DF,River Plate,32.0,False,2024,ARG1,
ramiro hernandes,2004,ar ARG,"MF,DF",Belgrano,19.0,False,2024,ARG1,
ramiro macagno,1997,ar ARG,GK,Newell's OB,26.0,True,2024,ARG1,
ramiro ruiz,2000,ar ARG,"FW,MF",Talleres,23.0,False,2024,ARG1,
ramon abila,1989,ar ARG,FW,Huracán,34.0,False,2024,ARG1,
ramon arias,1992,uy URU,DF,Tigre,31.0,False,2024,ARG1,
ramon cansinos,2002,ar ARG,"MF,FW",Cen. Córdoba–SdE,21.0,False,2024,ARG1,
ramon sosa,1999,py PAR,FW,Talleres,24.0,False,2024,ARG1,
randall rodriguez,2003,uy URU,GK,Vélez Sarsfield,20.0,True,2024,ARG1,
raul loaiza,1994,co COL,MF,Lanús,29.0,False,2024,ARG1,
renzo tesuri,1996,ar ARG,"MF,DF",Atlé Tucumán,27.0,False,2024,ARG1,
roberto nicolas fernandez,1998,uy URU,MF,Godoy Cruz,25.0,False,2024,ARG1,
roberto ramirez,1996,ar ARG,GK,Godoy Cruz,27.0,True,2024,ARG1,
rodrigo aliendro,1991,ar ARG,MF,River Plate,32.0,False,2024,ARG1,
rodrigo atencio,2002,ar ARG,"MF,FW",Cen. Córdoba–SdE,21.0,False,2024,ARG1,
rodrigo bogarin,1997,py PAR,"MF,FW",Defensa y Just,26.0,False,2024,ARG1,
rodrigo cabral,2000,ar ARG,FW,Huracán,23.0,False,2024,ARG1,
rodrigo castillo,1999,ar ARG,FW,Gimnasia–LP,24.0,False,2024,ARG1,
rodrigo cavallera,2000,ar ARG,"FW,DF",Deportivo Riestra,24.0,False,2024,ARG1,
rodrigo echeverria,1995,cl CHI,MF,Huracán,28.0,False,2024,ARG1,
rodrigo fernandez,1996,uy URU,MF,Newell's OB,28.0,False,2024,ARG1,
rodrigo gallo,2000,ar ARG,"DF,MF",Gimnasia–LP,23.0,False,2024,ARG1,
rodrigo herrera,2000,ar ARG,MF,Barracas Central,23.0,False,2024,ARG1,
rodrigo inaki melo,1995,ar ARG,MF,Atlé Tucumán,28.0,False,2024,ARG1,
rodrigo insua,1997,ar ARG,"DF,MF",Barracas Central,26.0,False,2024,ARG1,
rodrigo marquez,2002,ar ARG,FW,Platense,21.0,False,2024,ARG1,
rodrigo perez,1996,uy URU,MF,Instituto,27.0,False,2024,ARG1,
rodrigo pineiro,1999,uy URU,"FW,MF",Vélez Sarsfield,24.0,False,2024,ARG1,
rodrigo rey,1991,ar ARG,GK,Independiente,32.0,True,2024,ARG1,
rodrigo saravia,2000,uy URU,MF,Gimnasia–LP,23.0,False,2024,ARG1,
rodrigo sayavedra,1995,ar ARG,"DF,MF",Deportivo Riestra,28.0,False,2024,ARG1,
rodrigo villagra,2001,ar ARG,MF,River Plate,22.0,False,2024,ARG1,
roger martinez,1994,co COL,"FW,MF",Racing Club,29.0,False,2024,ARG1,
roman gomez,2004,ar ARG,DF,Estudiantes–LP,19.0,False,2024,ARG1,
roman vega,2004,ar ARG,DF,Arg Juniors,20.0,False,2024,ARG1,
ronaldo martinez,1996,py PAR,"FW,MF",Platense,27.0,False,2024,ARG1,
ruben botta,1990,ar ARG,"MF,FW",Talleres,34.0,False,2024,ARG1,
ruben martinez,2004,ar ARG,MF,Independiente,19.0,False,2024,ARG1,
salomon rodriguez,2000,uy URU,FW,Godoy Cruz,23.0,False,2024,ARG1,
samuel beltran,2004,ar ARG,MF,Rosario Central,19.0,False,2024,ARG1,
santi ramos mingo,2001,ar ARG,DF,Defensa y Just,22.0,False,2024,ARG1,
santiago arzamendia,1998,py PAR,DF,Estudiantes–LP,25.0,False,2024,ARG1,
santiago ascacibar,1997,ar ARG,MF,Estudiantes–LP,26.0,False,2024,ARG1,
santiago caseres,1997,ar ARG,MF,Vélez Sarsfield,26.0,False,2024,ARG1,
santiago coronel,2000,ar ARG,"MF,FW",Barracas Central,23.0,False,2024,ARG1,
santiago dalmasso,2004,ar ARG,MF,Boca Juniors,19.0,False,2024,ARG1,
santiago esquivel,2004,ar ARG,MF,Banfield,20.0,False,2024,ARG1,
santiago flores,2001,ar ARG,DF,Estudiantes–LP,22.0,False,2024,ARG1,
santiago godoy,2001,ar ARG,FW,Defensa y Just,22.0,False,2024,ARG1,
santiago gonzalez,2003,ar ARG,MF,Tigre,20.0,False,2024,ARG1,
santiago hidalgo,2005,ar ARG,"FW,MF",Independiente,18.0,False,2024,ARG1,
santiago laquidain,2001,ar ARG,DF,Cen. Córdoba–SdE,22.0,False,2024,ARG1,
santiago lencina,2005,ar ARG,FW,River Plate,18.0,False,2024,ARG1,
santiago longo,1998,ar ARG,MF,Belgrano,25.0,False,2024,ARG1,
santiago lopez,2006,ar ARG,FW,Independiente,17.0,False,2024,ARG1,
santiago martinez,2004,ar ARG,MF,Godoy Cruz,20.0,False,2024,ARG1,
santiago montiel,2000,ar ARG,"FW,MF",Independiente,23.0,False,2024,ARG1,
santiago morales,0,0,DF,Sarmiento,0.0,False,2024,ARG1,
santiago quiros,2003,ar ARG,DF,Racing Club,20.0,False,2024,ARG1,
santiago rodriguez,1997,ar ARG,"FW,MF",Arg Juniors,26.0,False,2024,ARG1,
santiago salle,2004,ar ARG,DF,Independiente,19.0,False,2024,ARG1,
santiago segovia,2007,ar ARG,"MF,FW",Rosario Central,16.0,False,2024,ARG1,
santiago simon,2002,ar ARG,"MF,DF",River Plate,21.0,False,2024,ARG1,
santiago solari,1998,ar ARG,"FW,MF",Racing Club,26.0,False,2024,ARG1,
santiago sosa,2005,ar ARG,MF,San Lorenzo,19.0,False,2024,ARG1,
santiago toloza,2002,ar ARG,MF,Independiente,21.0,False,2024,ARG1,
santino andino,2005,ar ARG,"MF,FW",Godoy Cruz,18.0,False,2024,ARG1,
santino primante,2004,ar ARG,"FW,MF",Gimnasia–LP,19.0,False,2024,ARG1,
sasha marcich,1998,ar ARG,DF,Platense,25.0,False,2024,ARG1,
saul salcedo,1997,py PAR,DF,Newell's OB,26.0,False,2024,ARG1,
sebastian blanco,1988,ar ARG,MF,San Lorenzo,35.0,False,2024,ARG1,
sebastian boselli,2003,uy URU,DF,Estudiantes–LP,20.0,False,2024,ARG1,
sebastian medina,2000,ar ARG,"FW,DF",Tigre,23.0,False,2024,ARG1,
sebastian meza,2000,ar ARG,GK,Huracán,23.0,True,2024,ARG1,
sebastian moyano,1990,ar ARG,GK,Barracas Central,33.0,True,2024,ARG1,
sebastian palacios,1992,ar ARG,"FW,MF",Talleres,32.0,False,2024,ARG1,
sebastian prieto,1993,ar ARG,DF,Arg Juniors,30.0,False,2024,ARG1,
sebastian ramirez,2000,ar ARG,FW,Huracán,23.0,False,2024,ARG1,
sebastian valdez,1995,ar ARG,DF,Cen. Córdoba–SdE,28.0,False,2024,ARG1,
sebastian villa,1996,co COL,FW,Ind. Rivadavia,27.0,False,2024,ARG1,
sergio quiroga,1994,ar ARG,MF,Sarmiento,29.0,False,2024,ARG1,
sergio romero,1987,ar ARG,GK,Boca Juniors,36.0,True,2024,ARG1,
sheyko studer,2002,ar ARG,DF,Ind. Rivadavia,21.0,False,2024,ARG1,
silvio romero,1988,ar ARG,"FW,MF",Instituto,35.0,False,2024,ARG1,
silvio ulariaga,2002,ar ARG,FW,Godoy Cruz,21.0,False,2024,ARG1,
simon rivero,2003,ar ARG,MF,Unión,20.0,False,2024,ARG1,
siro rosane,2000,ar ARG,MF,Barracas Central,23.0,False,2024,ARG1,
stefano moreyra,2001,ar ARG,MF,Instituto,22.0,False,2024,ARG1,
thiago cardozo,1996,uy URU,GK,Unión,27.0,True,2024,ARG1,
thiago fernandez,2004,ar ARG,FW,Vélez Sarsfield,19.0,False,2024,ARG1,
thiago nuss,2001,ar ARG,FW,Cen. Córdoba–SdE,22.0,False,2024,ARG1,
thiago ponce,2005,ar ARG,FW,Rosario Central,19.0,False,2024,ARG1,
thiago santamaria,2003,ar ARG,DF,Arg Juniors,20.0,False,2024,ARG1,
thomas galdames,1998,cl CHI,DF,Godoy Cruz,25.0,False,2024,ARG1,
thyago ayala,2001,ar ARG,GK,Sarmiento,22.0,True,2024,ARG1,
tiago banega,1999,ar ARG,"MF,DF",Unión,24.0,False,2024,ARG1,
tiago ferreyra,2002,ar ARG,"FW,DF",Defensa y Just,21.0,False,2024,ARG1,
tiago palacios,2001,uy URU,"FW,MF",Estudiantes–LP,22.0,False,2024,ARG1,
tobias cervera,2002,sy SYR,FW,Platense,21.0,False,2024,ARG1,
tobias medina,2004,ar ARG,"MF,FW",San Lorenzo,19.0,False,2024,ARG1,
tobias ostchega,1998,ar ARG,DF,Ind. Rivadavia,25.0,False,2024,ARG1,
tobias palacio,2006,ar ARG,DF,Arg Juniors,17.0,False,2024,ARG1,
tobias rubio,2004,ar ARG,MF,Racing Club,19.0,False,2024,ARG1,
tomas badaloni,2000,ar ARG,FW,Godoy Cruz,23.0,False,2024,ARG1,
tomas belmonte,1998,ar ARG,MF,Boca Juniors,25.0,False,2024,ARG1,
tomas castro,2001,ar ARG,"MF,DF",Atlé Tucumán,22.0,False,2024,ARG1,
tomas cavanagh,2001,ar ARG,"FW,DF",Tigre,23.0,False,2024,ARG1,
tomas conechny,1998,ar ARG,FW,Godoy Cruz,25.0,False,2024,ARG1,
tomas durso,1999,ar ARG,GK,Atlé Tucumán,24.0,True,2024,ARG1,
tomas fernandez,2004,ar ARG,DF,Tigre,20.0,False,2024,ARG1,
tomas galvan,2000,ar ARG,"FW,MF",Tigre,23.0,False,2024,ARG1,
tomas guiacobini,2004,ar ARG,MF,Sarmiento,19.0,False,2024,ARG1,
tomas guidara,1996,ar ARG,DF,Vélez Sarsfield,27.0,False,2024,ARG1,
tomas jacob,2004,ar ARG,DF,Newell's OB,19.0,False,2024,ARG1,
tomas marchiori,1995,ar ARG,GK,Vélez Sarsfield,28.0,True,2024,ARG1,
tomas molina,1995,ar ARG,FW,Cen. Córdoba–SdE,28.0,False,2024,ARG1,
tomas o'connor,2004,ar ARG,MF,Rosario Central,19.0,False,2024,ARG1,
tomas palacios,2003,ar ARG,DF,Ind. Rivadavia,20.0,False,2024,ARG1,
tomas perez,2005,ar ARG,MF,Newell's OB,18.0,False,2024,ARG1,
tomas porra,2004,ar ARG,MF,San Lorenzo,20.0,False,2024,ARG1,
tomas pozzo,2000,ar ARG,MF,Godoy Cruz,23.0,False,2024,ARG1,
tomas villoldo,1995,ar ARG,"DF,MF",Deportivo Riestra,28.0,False,2024,ARG1,
valentin burgoa,2000,ar ARG,"FW,MF",Sarmiento,24.0,False,2024,ARG1,
valentin depietri,2000,ar ARG,FW,Talleres,23.0,False,2024,ARG1,
valentin fascendini,2003,ar ARG,DF,Unión,20.0,False,2024,ARG1,
valentin gomez,2003,ar ARG,DF,Vélez Sarsfield,20.0,False,2024,ARG1,
valentin moreno,2003,ar ARG,DF,Tigre,20.0,False,2024,ARG1,
valentin rodriguez,2001,uy URU,"MF,DF",Gimnasia–LP,22.0,False,2024,ARG1,
valentino acuna,2006,ar ARG,MF,Newell's OB,18.0,False,2024,ARG1,
vicente poggi,2002,uy URU,MF,Godoy Cruz,21.0,False,2024,ARG1,
vicente taborda,2001,ar ARG,MF,Platense,22.0,False,2024,ARG1,
victor cabrera,1993,ar ARG,DF,Instituto,30.0,False,2024,ARG1,
victor malcorra,1987,ar ARG,"MF,FW",Rosario Central,36.0,False,2024,ARG1,
victorio ramis,1994,ar ARG,FW,Ind. Rivadavia,29.0,False,2024,ARG1,
walter acuna,1992,ar ARG,"FW,MF",Deportivo Riestra,31.0,False,2024,ARG1,
walter bou,1993,ar ARG,FW,Lanús,30.0,False,2024,ARG1,
walter mazzantti,1996,ar ARG,FW,Huracán,27.0,False,2024,ARG1,
walter molas,2004,ar ARG,DF,Boca Juniors,19.0,False,2024,ARG1,
walter montoya,1993,ar ARG,MF,Cen. Córdoba–SdE,30.0,False,2024,ARG1,
walter rodriguez,1995,py PAR,"MF,DF",Deportivo Riestra,28.0,False,2024,ARG1,
william alarcon,2000,cl CHI,MF,Huracán,23.0,False,2024,ARG1,
yair ezequiel arismendi,1998,ar ARG,DF,Sarmiento,25.0,False,2024,ARG1,
yaison murillo,1993,co COL,DF,Deportivo Riestra,30.0,False,2024,ARG1,
yonatan rodriguez,1993,uy URU,MF,Banfield,30.0,False,2024,ARG1,
yonathan cabral,1992,ar ARG,DF,Gimnasia–LP,31.0,False,2024,ARG1,
yonatthan rak,1993,uy URU,DF,Cen. Córdoba–SdE,30.0,False,2024,ARG1,
yuri casermeiro,2002,ar ARG,"MF,DF",Cen. Córdoba–SdE,21.0,False,2024,ARG1,
yvo calleros,1998,uy URU,MF,Banfield,25.0,False,2024,ARG1,
zaid romero,1999,ar ARG,DF,Estudiantes–LP,24.0,False,2024,ARG1,
