Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
ukasz fabianski,pl POL,GK,West Ham,39,1985,12.9,0,0,0.0,0.0,0,0,332,495,67.07,0,0,0,0,21.0,1.63,71.0,50.0,74.6,2.0,15.4,3.0,3.0,0.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,10.0,4.5,12.0,0.93,13.1,True,39.0
valentino livramento,eng ENG,DF,Newcastle Utd,21,2002,31.6,0,1,0.3,2.6,6,2,1403,1643,85.39,54,36,37,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
victor bernth kristiansen,dk DEN,DF,Leicester City,21,2002,27.6,0,1,0.3,1.4,3,0,1023,1321,77.44,87,51,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
victor lindelof,se SWE,DF,Manchester Utd,30,1994,7.8,0,0,0.0,0.1,0,0,362,386,93.78,7,2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0
virgil van dijk,nl NED,DF,Liverpool,33,1991,37.0,3,1,2.2,0.7,27,8,2687,2934,91.58,38,20,27,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
vitaliy mykolenko,ua UKR,DF,Everton,25,1999,34.2,1,2,0.5,2.6,14,1,986,1322,74.58,63,38,25,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
vitaly janelt,de GER,MF,Brentford,26,1998,25.0,1,3,0.8,2.2,14,4,872,1057,82.5,38,22,33,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
vitezslav jaros,cz CZE,GK,Liverpool,23,2001,0.1,0,0,0.0,0.0,0,0,6,8,75.0,0,0,0,0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,5.0,7.0,71.4,7.0,2.0,85.7,50.9,0.0,0.0,0.0,0.0,11.0,True,23.0
vitor reis,br BRA,DF,Manchester City,18,2006,0.0,0,0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
vladimir coufal,cz CZE,DF,West Ham,31,1992,11.9,0,0,0.3,0.7,7,2,470,598,78.6,22,15,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
wataru endo,jp JPN,"MF,DF",Liverpool,31,1993,3.0,0,0,0.0,0.1,0,0,182,194,93.81,12,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
welington,br BRA,DF,Southampton,23,2001,5.4,0,0,0.0,0.1,3,0,145,186,77.96,21,9,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
wes burns,wls WAL,"FW,DF",Ipswich Town,29,1994,10.3,0,1,0.5,1.6,7,1,153,253,60.47,13,11,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0
wesley fofana,fr FRA,DF,Chelsea,23,2000,13.0,0,0,0.4,0.4,3,0,724,803,90.16,13,12,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
wilfred ndidi,ng NGA,MF,Leicester City,27,1996,25.8,0,5,2.0,1.9,22,8,839,1045,80.29,85,51,47,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
will alves,eng ENG,FW,Leicester City,19,2005,0.0,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
will hughes,eng ENG,MF,Crystal Palace,29,1995,23.4,0,3,1.1,3.1,22,1,737,970,75.98,66,36,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0
will lankshear,eng ENG,"FW,MF",Tottenham,19,2005,0.1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
william osula,dk DEN,FW,Newcastle Utd,20,2003,1.5,1,0,0.2,0.1,4,1,18,29,62.07,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
william saliba,fr FRA,DF,Arsenal,23,2001,33.8,2,0,2.3,0.9,6,2,2413,2559,94.29,62,37,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
william smallbone,ie IRL,MF,Southampton,24,2000,7.7,1,0,0.6,0.7,7,1,270,356,75.84,20,13,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
willian,br BRA,"FW,MF",Fulham,35,1988,2.9,0,0,0.3,0.5,7,0,178,208,85.58,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0
willy boly,ci CIV,DF,Nott'ham Forest,33,1991,1.7,0,0,0.1,0.0,1,1,55,70,78.57,6,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
wilson odobert,fr FRA,"FW,MF",Tottenham,19,2004,9.4,1,0,1.6,1.0,13,4,212,274,77.37,14,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
wout faes,be BEL,DF,Leicester City,26,1998,31.3,1,0,1.5,0.1,12,1,1376,1564,87.98,42,26,48,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
woyo coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,0,0,0.0,0.0,2,1,48,57,84.21,6,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
yankuba minteh,gm GAM,"FW,MF",Brighton,20,2004,20.4,6,4,4.1,5.0,34,16,348,557,62.48,48,35,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
yasin ayari,se SWE,MF,Brighton,20,2003,21.8,2,1,2.4,2.3,28,8,793,973,81.5,59,32,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
yehor yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,0,0,0.6,0.9,9,2,661,760,86.97,49,28,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
yerson mosquera,co COL,DF,Wolves,23,2001,4.9,0,0,0.3,0.1,2,0,205,240,85.42,11,7,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
yoane wissa,cd COD,FW,Brentford,27,1996,32.4,19,4,18.5,2.6,90,41,450,588,76.53,22,12,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
youri tielemans,be BEL,MF,Aston Villa,27,1997,33.6,3,7,3.3,7.0,40,12,1694,2061,82.19,84,58,38,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
youssef chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,0,0,0.1,0.0,3,1,6,11,54.55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
yukinari sugawara,jp JPN,"DF,MF",Southampton,24,2000,17.3,1,1,0.5,2.2,14,5,713,891,80.02,31,18,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
yunus emre konak,tr TUR,"FW,MF",Brentford,18,2006,0.5,0,0,0.2,0.0,1,0,26,36,72.22,4,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
yves bissouma,ml MLI,MF,Tottenham,27,1996,15.6,2,0,0.6,0.3,11,4,755,852,88.62,49,31,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
zain silcott-duberry,ms MSR,FW,Bournemouth,19,2005,0.0,0,0,0.0,0.0,0,0,1,2,50.0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
