player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
santino andino|2005,santino andino,2005,ar ARG,,,,
santino primante|2004,santino primante,2004,ar ARG,,,,
sasha marcich|1998,sasha marcich,1998,ar ARG,,,,
saul salcedo|1997,saul salcedo,1997,py PAR,,,,
sebastian blanco|1988,sebastian blanco,1988,ar ARG,54576.0,600000.0,,100.0
sebastian boselli|2003,sebastian boselli,2003,uy URU,,,,
sebastian medina|2000,sebastian medina,2000,ar ARG,,,,
sebastian meza|2000,sebastian meza,2000,ar ARG,,,,
sebastian moyano|1990,sebastian moyano,1990,ar ARG,,,,
sebastian palacios|1992,sebastian palacios,1992,ar ARG,262861.0,2000000.0,,100.0
sebastian prieto|1993,sebastian prieto,1993,ar ARG,,,,
sebastian ramirez|2000,sebastian ramirez,2000,ar ARG,,,,
sebastian valdez|1995,sebastian valdez,1995,ar ARG,,,,
sebastian villa|1996,sebastian villa,1996,co COL,,,,
sergio quiroga|1994,sergio quiroga,1994,ar ARG,,,,
sergio romero|1987,sergio romero,1987,ar ARG,30690.0,400000.0,,100.0
sheyko studer|2002,sheyko studer,2002,ar ARG,,,,
silvio romero|1988,silvio romero,1988,ar ARG,88082.0,800000.0,,100.0
silvio ulariaga|2002,silvio ulariaga,2002,ar ARG,,,,
simon rivero|2003,simon rivero,2003,ar ARG,,,,
siro rosane|2000,siro rosane,2000,ar ARG,,,,
stefano moreyra|2001,stefano moreyra,2001,ar ARG,,,,
thiago cardozo|1996,thiago cardozo,1996,uy URU,114932.0,100000.0,,92.85714285714286
thiago fernandez|2004,thiago fernandez,2004,ar ARG,,,,
thiago nuss|2001,thiago nuss,2001,ar ARG,840101.0,750000.0,,100.0
thiago ponce|2005,thiago ponce,2005,ar ARG,,,,
thiago santamaria|2003,thiago santamaria,2003,ar ARG,,,,
thomas galdames|1998,thomas galdames,1998,cl CHI,539469.0,2500000.0,,100.0
thyago ayala|2001,thyago ayala,2001,ar ARG,,,,
tiago banega|1999,tiago banega,1999,ar ARG,,,,
tiago ferreyra|2002,tiago ferreyra,2002,ar ARG,149721.0,250000.0,,92.85714285714286
tiago palacios|2001,tiago palacios,2001,uy URU,,,,
tobias cervera|2002,tobias cervera,2002,sy SYR,,,,
tobias medina|2004,tobias medina,2004,ar ARG,856592.0,1000000.0,,100.0
tobias ostchega|1998,tobias ostchega,1998,ar ARG,,,,
tobias palacio|2006,tobias palacio,2006,ar ARG,,,,
tobias rubio|2004,tobias rubio,2004,ar ARG,,,,
tomas badaloni|2000,tomas badaloni,2000,ar ARG,,,,
tomas belmonte|1998,tomas belmonte,1998,ar ARG,,,,
tomas castro|2001,tomas castro,2001,ar ARG,681831.0,325000.0,,100.0
tomas cavanagh|2001,tomas cavanagh,2001,ar ARG,,,,
tomas conechny|1998,tomas conechny,1998,ar ARG,401571.0,2000000.0,,100.0
tomas durso|1999,tomas durso,1999,ar ARG,,,,
tomas fernandez|2004,tomas fernandez,2004,ar ARG,,,,
tomas galvan|2000,tomas galvan,2000,ar ARG,,,,
tomas guiacobini|2004,tomas guiacobini,2004,ar ARG,,,,
tomas guidara|1996,tomas guidara,1996,ar ARG,,,,
tomas jacob|2004,tomas jacob,2004,ar ARG,,,,
tomas marchiori|1995,tomas marchiori,1995,ar ARG,,,,
tomas molina|1995,tomas molina,1995,ar ARG,,,,
tomas o'connor|2004,tomas o'connor,2004,ar ARG,,,,
tomas palacios|2003,tomas palacios,2003,ar ARG,993645.0,5000000.0,,100.0
tomas perez|2005,tomas perez,2005,ar ARG,1152154.0,3000000.0,,100.0
tomas porra|2004,tomas porra,2004,ar ARG,,,,
tomas pozzo|2000,tomas pozzo,2000,ar ARG,,,,
tomas villoldo|1995,tomas villoldo,1995,ar ARG,,,,
valentin burgoa|2000,valentin burgoa,2000,ar ARG,,,,
valentin depietri|2000,valentin depietri,2000,ar ARG,,,,
valentin fascendini|2003,valentin fascendini,2003,ar ARG,,,,
valentin gomez|2003,valentin gomez,2003,ar ARG,,,,
valentin moreno|2003,valentin moreno,2003,ar ARG,,,,
valentin rodriguez|2001,valentin rodriguez,2001,uy URU,,,,
valentino acuna|2006,valentino acuna,2006,ar ARG,,,,
vicente poggi|2002,vicente poggi,2002,uy URU,,,,
vicente taborda|2001,vicente taborda,2001,ar ARG,,,,
victor cabrera|1993,victor cabrera,1993,ar ARG,,,,
victor malcorra|1987,victor malcorra,1987,ar ARG,,,,
victorio ramis|1994,victorio ramis,1994,ar ARG,,,,
walter acuna|1992,walter acuna,1992,ar ARG,,,,
walter bou|1993,walter bou,1993,ar ARG,,,,
walter mazzantti|1996,walter mazzantti,1996,ar ARG,,,,
walter molas|2004,walter molas,2004,ar ARG,,,,
walter montoya|1993,walter montoya,1993,ar ARG,267420.0,500000.0,,100.0
walter rodriguez|1995,walter rodriguez,1995,py PAR,,,,
william alarcon|2000,william alarcon,2000,cl CHI,,,,
yair ezequiel arismendi|1998,yair ezequiel arismendi,1998,ar ARG,,,,
yaison murillo|1993,yaison murillo,1993,co COL,,,,
yonatan rodriguez|1993,yonatan rodriguez,1993,uy URU,,,,
yonathan cabral|1992,yonathan cabral,1992,ar ARG,,,,
yonatthan rak|1993,yonatthan rak,1993,uy URU,,,,
yuri casermeiro|2002,yuri casermeiro,2002,ar ARG,,,,
yvo calleros|1998,yvo calleros,1998,uy URU,,,,
zaid romero|1999,zaid romero,1999,ar ARG,741142.0,4000000.0,,100.0
