player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
emiliano mendez|1989,emiliano mendez,1989,ar ARG,,,,
emiliano saliadarre|2002,emiliano saliadarre,2002,ar ARG,,,,
emiliano viveros|2002,emiliano viveros,2002,ar ARG,,,,
enrique bologna|1982,enrique bologna,1982,ar ARG,,,,
enzo briones|2004,enzo briones,2004,ar ARG,,,,
enzo copetti|1996,enzo copetti,1996,ar ARG,,,,
enzo diaz|1995,enzo diaz,1995,ar ARG,,,,
enzo martin roldan|2000,enzo martin roldan,2000,ar ARG,,,,
enzo martinez|1998,enzo martinez,1998,uy URU,578737.0,800000.0,,100.0
enzo perez|1986,enzo perez,1986,ar ARG,56066.0,1000000.0,,100.0
eric meza|1999,eric meza,1999,ar ARG,,,,
eric ramirez|1998,eric ramirez,1998,ve VEN,428746.0,700000.0,,100.0
eric remedi|1995,eric remedi,1995,ar ARG,,,,
erik godoy|1993,erik godoy,1993,ar ARG,,,,
eros mancuso|1999,eros mancuso,1999,ar ARG,,,,
esequiel barco|1999,esequiel barco,1999,ar ARG,456623.0,14000000.0,,100.0
esteban burgos|1992,esteban burgos,1992,ar ARG,337922.0,700000.0,,100.0
esteban fernandez|2002,esteban fernandez,2002,ar ARG,,,,
esteban lucero|2005,esteban lucero,2005,ar ARG,,,,
esteban rolon|1995,esteban rolon,1995,ar ARG,399887.0,300000.0,,100.0
ever banega|1988,ever banega,1988,ar ARG,12249.0,1800000.0,,100.0
exequiel zeballos|2002,exequiel zeballos,2002,ar ARG,,,,
ezequiel bonifacio|1994,ezequiel bonifacio,1994,ar ARG,,,,
ezequiel canete|1999,ezequiel canete,1999,ar ARG,,,,
ezequiel cannavo|2002,ezequiel cannavo,2002,ar ARG,,,,
ezequiel centurion|1997,ezequiel centurion,1997,ar ARG,,,,
ezequiel cerutti|1992,ezequiel cerutti,1992,ar ARG,,,,
ezequiel fernandez|2002,ezequiel fernandez,2002,ar ARG,,,,
ezequiel forclaz|2003,ezequiel forclaz,2003,ar ARG,,,,
ezequiel ham|1994,ezequiel ham,1994,sy SYR,,,,
ezequiel munoz|1990,ezequiel munoz,1990,ar ARG,75127.0,100000.0,,100.0
ezequiel naya|2001,ezequiel naya,2001,ar ARG,,,,
fabio alvarez|1993,fabio alvarez,1993,ar ARG,,,,
fabio pereyra|1990,fabio pereyra,1990,ar ARG,,,,
fabricio bustos|1996,fabricio bustos,1996,ar ARG,,,,
fabricio corbalan|2003,fabricio corbalan,2003,ar ARG,,,,
fabricio iacovich|2002,fabricio iacovich,2002,ar ARG,,,,
fabricio lopez|2002,fabricio lopez,2002,ar ARG,,,,
fabricio oviedo|2004,fabricio oviedo,2004,ar ARG,,,,
fabricio perez|2005,fabricio perez,2005,ar ARG,,,,
fabricio tirado|2004,fabricio tirado,2004,ar ARG,,,,
fabrizio sartori|2002,fabrizio sartori,2002,ar ARG,,,,
facundo altamira|,facundo altamira,0,0,,,,
facundo altamirano|1996,facundo altamirano,1996,ar ARG,,,,
facundo ardiles|1998,facundo ardiles,1998,ar ARG,,,,
facundo baez|2004,facundo baez,2004,ar ARG,,,,
facundo bruera|1998,facundo bruera,1998,ar ARG,,,,
facundo butti|2000,facundo butti,2000,ar ARG,,,,
facundo cambeses|1997,facundo cambeses,1997,ar ARG,,,,
facundo colidio|2000,facundo colidio,2000,ar ARG,491705.0,3500000.0,,100.0
facundo echevarria|2002,facundo echevarria,2002,ar ARG,,,,
facundo ferreyra|1991,facundo ferreyra,1991,ar ARG,93795.0,250000.0,,100.0
facundo kruger|2000,facundo kruger,2000,ar ARG,,,,
facundo lencioni|2001,facundo lencioni,2001,ar ARG,,,,
facundo mallo|1995,facundo mallo,1995,uy URU,,,,
facundo mater|1998,facundo mater,1998,sy SYR,,,,
facundo mura|1999,facundo mura,1999,ar ARG,,,,
facundo quignon|1993,facundo quignon,1993,ar ARG,,,,
facundo rodriguez|2000,facundo rodriguez,2000,ar ARG,,,,
facundo roncaglia|1987,facundo roncaglia,1987,ar ARG,61546.0,200000.0,,100.0
facundo russo|2000,facundo russo,2000,ar ARG,,,,
facundo sanguinetti|2001,facundo sanguinetti,2001,ar ARG,,,,
facundo suarez|1994,facundo suarez,1994,ar ARG,,,,
favio cabral|2001,favio cabral,2001,ar ARG,,,,
federico aguirre|2002,federico aguirre,2002,ar ARG,,,,
federico andueza|1997,federico andueza,1997,uy URU,,,,
federico fattori|1992,federico fattori,1992,ar ARG,,,,
federico fernandez|1989,federico fernandez,1989,ar ARG,85475.0,500000.0,,100.0
federico gattoni|1999,federico gattoni,1999,ar ARG,660735.0,3500000.0,,100.0
federico girotti|1999,federico girotti,1999,ar ARG,,,,
federico mancuello|1989,federico mancuello,1989,ar ARG,,,,
federico medina|2004,federico medina,2004,ar ARG,,,,
federico milo|1992,federico milo,1992,ar ARG,283395.0,150000.0,,100.0
federico paradela|1999,federico paradela,1999,ar ARG,,,,
federico rasmussen|1992,federico rasmussen,1992,ar ARG,,,,
federico vera|1998,federico vera,1998,ar ARG,,,,
felipe aguilar|1993,felipe aguilar,1993,co COL,,,,
felipe loyola|2000,felipe loyola,2000,cl CHI,,,,
felipe pena|2001,felipe pena,2001,ar ARG,,,,
felipe sanchez|2004,felipe sanchez,2004,ar ARG,,,,
felipe zenobio|2000,felipe zenobio,2000,ar ARG,,,,
fernando alarcon|1994,fernando alarcon,1994,ar ARG,,,,
fernando benitez|2000,fernando benitez,2000,ar ARG,,,,
fernando david cardozo|2001,fernando david cardozo,2001,py PAR,491598.0,3500000.0,,95.0
fernando godoy|1990,fernando godoy,1990,ar ARG,130452.0,75000.0,,100.0
fernando juarez|1998,fernando juarez,1998,ar ARG,,,,
