name,Pos,Squad,Age,dob,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
agustin bolivar,MF,Gimnasia–LP,28,1996,2.3,0,0,0.0,0.0,2,0,66,82,80.49,10,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,agustin bolivar,1996,agustin bolivar|1996,,,,ar ARG,,agustin bolivar|1996
agustin bouzat,"MF,DF",Vélez Sarsfield,29,1994,23.8,0,0,0.3,0.7,12,2,758,1069,70.91,73,41,38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,agustin bouzat,1994,agustin bouzat|1994,422699.0,700000.0,2025-10-17,ar ARG,100.0,agustin bouzat|1994
agustin cardozo,MF,Tigre,26,1997,23.9,1,1,1.1,0.8,9,2,1171,1339,87.45,39,23,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,agustin cardozo,1997,agustin cardozo|1997,469762.0,1500000.0,2025-10-17,ar ARG,100.0,agustin cardozo|1997
agustin fontana,FW,Sarmiento,27,1996,2.5,1,0,1.9,0.3,7,4,26,46,56.52,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,agustin fontana,1996,agustin fontana|1996,,,,ar ARG,,agustin fontana|1996
agustin garcia basso,DF,Racing Club,31,1992,9.3,1,0,0.4,0.1,5,2,462,555,83.24,6,4,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,agustin garcia basso,1992,agustin garcia basso|1992,269793.0,700000.0,2025-10-17,ar ARG,100.0,agustin garcia basso|1992
agustin giay,DF,San Lorenzo,20,2004,3.0,1,0,0.8,0.1,6,1,93,122,76.23,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,agustin giay,2004,agustin giay|2004,,,,ar ARG,,agustin giay|2004
agustin irazoque,DF,Barracas Central,24,1999,0.1,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,agustin irazoque,1999,agustin irazoque|1999,,,,ar ARG,,agustin irazoque|1999
agustin juarez,"FW,MF",Newell's OB,18,2005,0.6,1,0,0.4,0.0,1,1,7,11,63.64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,agustin juarez,2005,agustin juarez|2005,,,,ar ARG,,agustin juarez|2005
agustin lagos,DF,Atlé Tucumán,22,2001,4.6,0,0,0.1,0.2,6,2,146,214,68.22,27,17,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,agustin lagos,2001,agustin lagos|2001,698551.0,700000.0,2025-10-17,ar ARG,100.0,agustin lagos|2001
agustin martegani,MF,Boca Juniors,23,2000,3.8,0,0,0.0,0.3,2,1,116,151,76.82,10,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin martegani,2000,agustin martegani|2000,732507.0,700000.0,2025-10-17,ar ARG,100.0,agustin martegani|2000
