name,Pos,Squad,Age,dob,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
facundo suarez,FW,Instituto,29,1994,14.7,3,3,3.6,1.2,37,10,178,332,53.61,11,7,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,facundo suarez,1994,facundo suarez|1994,702259.0,700000.0,2025-10-17,ar ARG,100.0,facundo suarez|1994
favio cabral,FW,Cen. Córdoba–SdE,22,2001,6.2,4,1,3.3,1.1,16,6,79,116,68.1,4,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,favio cabral,2001,favio cabral|2001,748210.0,150000.0,2025-10-17,ar ARG,100.0,favio cabral|2001
federico aguirre,FW,Barracas Central,21,2002,3.0,0,0,0.2,0.1,2,1,41,55,74.55,3,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,federico aguirre,2002,federico aguirre|2002,,,,ar ARG,,federico aguirre|2002
federico andueza,DF,Cen. Córdoba–SdE,26,1997,0.7,0,0,0.0,0.0,0,0,19,32,59.38,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,federico andueza,1997,federico andueza|1997,,,,uy URU,,federico andueza|1997
federico fattori,MF,Huracán,31,1992,19.2,0,1,0.1,0.6,5,1,893,1110,80.45,44,31,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,federico fattori,1992,federico fattori|1992,357956.0,650000.0,2025-10-17,ar ARG,100.0,federico fattori|1992
federico fernandez,DF,Estudiantes–LP,34,1989,8.5,0,0,0.5,0.2,5,0,430,479,89.77,4,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,federico fernandez,1989,federico fernandez|1989,,,,ar ARG,,federico fernandez|1989
federico gattoni,DF,River Plate,24,1999,4.6,0,0,0.1,0.0,1,0,249,292,85.27,6,2,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico gattoni,1999,federico gattoni|1999,660735.0,1300000.0,2025-10-17,ar ARG,100.0,federico gattoni|1999
federico girotti,FW,Talleres,24,1999,16.4,3,0,5.1,0.9,38,10,250,370,67.57,7,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico girotti,1999,federico girotti|1999,639149.0,2200000.0,2025-10-17,ar ARG,100.0,federico girotti|1999
federico mancuello,"MF,FW",Independiente,34,1989,9.0,1,1,1.2,0.9,20,5,235,349,67.34,11,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,federico mancuello,1989,federico mancuello|1989,96313.0,250000.0,2025-10-17,ar ARG,100.0,federico mancuello|1989
federico medina,FW,Banfield,19,2004,0.1,0,0,0.0,0.0,0,0,4,4,100.0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,federico medina,2004,federico medina|2004,,,,ar ARG,,federico medina|2004
federico milo,DF,Ind. Rivadavia,32,1992,6.2,0,0,0.1,0.2,4,0,150,267,56.18,22,19,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,federico milo,1992,federico milo|1992,,,,ar ARG,,federico milo|1992
federico paradela,MF,Sarmiento,24,1999,0.6,0,0,0.0,0.1,0,0,24,33,72.73,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico paradela,1999,federico paradela|1999,890130.0,75000.0,2025-10-17,ar ARG,100.0,federico paradela|1999
federico rasmussen,DF,Godoy Cruz,31,1992,23.9,0,0,0.0,0.3,1,0,791,948,83.44,38,22,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,federico rasmussen,1992,federico rasmussen|1992,131219.0,375000.0,2025-10-17,ar ARG,100.0,federico rasmussen|1992
federico vera,DF,Independiente,25,1998,12.7,0,0,0.1,0.6,3,2,411,565,72.74,29,19,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,federico vera,1998,federico vera|1998,829967.0,1500000.0,2025-10-17,ar ARG,100.0,federico vera|1998
felipe aguilar,DF,Independiente,31,1993,0.5,0,0,0.0,0.0,0,0,7,8,87.5,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,felipe aguilar,1993,felipe aguilar|1993,,,,co COL,,felipe aguilar|1993
felipe loyola,"MF,DF",Independiente,23,2000,18.0,2,2,1.5,1.6,23,7,523,695,75.25,33,18,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,felipe loyola,2000,felipe loyola|2000,843286.0,9000000.0,2025-10-17,cl CHI,100.0,felipe loyola|2000
felipe pena,MF,Lanús,22,2001,13.2,2,0,0.6,0.7,13,4,527,677,77.84,28,18,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,felipe pena,2001,felipe pena|2001,,,,ar ARG,,felipe pena|2001
felipe sanchez,"DF,FW",Gimnasia–LP,19,2004,0.3,0,0,0.0,0.0,0,0,11,14,78.57,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,felipe sanchez,2004,felipe sanchez|2004,,,,ar ARG,,felipe sanchez|2004
felipe zenobio,GK,Tigre,23,2000,24.4,0,0,0.0,0.0,0,0,582,750,77.6,0,0,0,0,28.0,1.15,93.0,66.0,73.1,9.0,36.0,3.0,3.0,0.0,0.0,28.8,0.29,1.8,0.07,73.0,219.0,33.3,543.0,134.0,26.7,31.1,36.0,8.8,15.0,0.62,11.3,True,23.0,felipe zenobio,2000,felipe zenobio|2000,826527.0,3000000.0,2025-10-17,ar ARG,100.0,felipe zenobio|2000
fernando alarcon,DF,Instituto,29,1994,18.6,2,0,1.1,0.2,19,6,593,815,72.76,28,17,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,fernando alarcon,1994,fernando alarcon|1994,376853.0,1500000.0,2025-10-17,ar ARG,100.0,fernando alarcon|1994
fernando benitez,"FW,MF",Cen. Córdoba–SdE,23,2000,6.5,1,2,0.9,1.6,12,3,123,180,68.33,8,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando benitez,2000,fernando benitez|2000,,,,ar ARG,,fernando benitez|2000
fernando david cardozo,"FW,MF",Newell's OB,22,2001,7.5,0,0,1.1,0.1,11,0,168,261,64.37,18,13,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,fernando david cardozo,2001,fernando david cardozo|2001,,,,py PAR,,fernando david cardozo|2001
fernando godoy,MF,Sarmiento,33,1990,2.2,0,0,0.0,0.0,1,0,37,56,66.07,8,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,fernando godoy,1990,fernando godoy|1990,,,,ar ARG,,fernando godoy|1990
fernando juarez,MF,Platense,25,1998,22.8,0,0,0.2,0.7,6,1,520,755,68.87,64,48,22,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,fernando juarez,1998,fernando juarez|1998,439627.0,800000.0,2025-10-17,ar ARG,100.0,fernando juarez|1998
fernando martinez,"DF,FW",Cen. Córdoba–SdE,23,2000,2.3,0,0,0.4,0.0,1,1,43,60,71.67,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando martinez,2000,fernando martinez|2000,880025.0,100000.0,2025-10-17,ar ARG,100.0,fernando martinez|2000
fernando meza,DF,Arg Juniors,33,1990,5.2,1,0,0.8,0.1,2,2,210,253,83.0,2,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,fernando meza,1990,fernando meza|1990,,,,ar ARG,,fernando meza|1990
fernando romero,FW,Ind. Rivadavia,23,2000,7.3,1,0,0.9,0.4,12,3,76,124,61.29,7,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando romero,2000,fernando romero|2000,,,,py PAR,,fernando romero|2000
fernando tobio,DF,Huracán,34,1989,16.4,1,0,0.7,0.0,5,4,513,657,78.08,18,13,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,fernando tobio,1989,fernando tobio|1989,69802.0,200000.0,2025-10-17,ar ARG,100.0,fernando tobio|1989
fernando zuqui,MF,Estudiantes–LP,32,1991,3.2,0,0,0.1,0.3,2,1,206,236,87.29,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,fernando zuqui,1991,fernando zuqui|1991,,,,ar ARG,,fernando zuqui|1991
flabian londono,FW,Tigre,23,2000,0.8,0,0,0.0,0.0,0,0,8,10,80.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,flabian londono,2000,flabian londono|2000,,,,co COL,,flabian londono|2000
florian monzon,"FW,MF",Tigre,23,2001,10.1,6,2,3.4,2.1,23,13,165,294,56.12,8,6,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,florian monzon,2001,florian monzon|2001,756993.0,2000000.0,2025-10-17,ar ARG,100.0,florian monzon|2001
francesco lo celso,"FW,MF",Rosario Central,23,2000,2.7,0,1,0.2,0.3,3,2,91,113,80.53,2,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,francesco lo celso,2000,francesco lo celso|2000,642757.0,50000.0,2025-10-17,ar ARG,100.0,francesco lo celso|2000
francis mac allister,MF,Arg Juniors,28,1995,13.1,0,0,0.3,0.2,10,1,558,684,81.58,42,23,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,francis mac allister,1995,francis mac allister|1995,440380.0,400000.0,2025-10-17,ar ARG,100.0,francis mac allister|1995
francisco alvarez,DF,Arg Juniors,23,2000,23.2,2,0,0.7,0.4,22,2,1273,1501,84.81,49,31,19,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,francisco alvarez,2000,francisco alvarez|2000,565766.0,4000000.0,2025-10-17,ar ARG,100.0,francisco alvarez|2000
francisco bonfiglio,"FW,MF",Atlé Tucumán,22,2002,1.5,0,0,0.7,0.2,6,1,19,34,55.88,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco bonfiglio,2002,francisco bonfiglio|2002,,,,es ESP,,francisco bonfiglio|2002
francisco facello,DF,Belgrano,21,2003,4.8,0,0,0.0,0.1,0,0,83,144,57.64,16,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,francisco facello,2003,francisco facello|2003,1159862.0,50000.0,2025-10-17,ar ARG,100.0,francisco facello|2003
francisco flores,DF,Atlé Tucumán,22,2002,5.1,0,0,0.1,0.0,1,0,108,153,70.59,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco flores,2002,francisco flores|2002,,,,ar ARG,,francisco flores|2002
francisco fydriszewski,FW,San Lorenzo,30,1993,1.1,0,0,0.8,0.1,1,0,14,21,66.67,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,francisco fydriszewski,1993,francisco fydriszewski|1993,,,,ar ARG,,francisco fydriszewski|1993
francisco gerometta,DF,Unión,24,1999,3.7,0,0,0.1,0.6,2,0,58,107,54.21,15,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,francisco gerometta,1999,francisco gerometta|1999,745789.0,250000.0,2025-10-17,ar ARG,100.0,francisco gerometta|1999
francisco gonzalez,MF,Belgrano,26,1997,21.8,0,4,2.6,3.6,36,9,642,852,75.35,52,36,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,francisco gonzalez,1997,francisco gonzalez|1997,442679.0,2200000.0,2025-10-17,ar ARG,95.0,francisco gonzalez|1997
francisco marco,DF,Defensa y Just,20,2003,0.9,0,0,0.0,0.0,0,0,35,44,79.55,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,francisco marco,2003,francisco marco|2003,,,,ar ARG,,francisco marco|2003
francisco montoro,FW,Vélez Sarsfield,19,2004,0.1,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,francisco montoro,2004,francisco montoro|2004,,,,ar ARG,,francisco montoro|2004
francisco perruzzi,"MF,FW",San Lorenzo,22,2001,1.6,0,0,0.1,0.0,1,1,77,91,84.62,9,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco perruzzi,2001,francisco perruzzi|2001,963139.0,300000.0,2025-10-17,ar ARG,100.0,francisco perruzzi|2001
francisco petrasso,DF,Ind. Rivadavia,21,2002,4.8,1,0,0.3,0.0,4,2,98,148,66.22,10,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,francisco petrasso,2002,francisco petrasso|2002,,,,ar ARG,,francisco petrasso|2002
francisco pizzini,FW,Vélez Sarsfield,30,1993,24.1,4,5,5.8,5.3,51,20,553,802,68.95,21,14,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,francisco pizzini,1993,francisco pizzini|1993,213122.0,1800000.0,2025-10-17,ar ARG,100.0,francisco pizzini|1993
franco alfonso,"FW,MF",Huracán,21,2002,2.9,0,0,0.1,0.3,7,0,83,125,66.4,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,franco alfonso,2002,franco alfonso|2002,988412.0,400000.0,2025-10-17,ar ARG,100.0,franco alfonso|2002
franco aragon,MF,Cen. Córdoba–SdE,29,1994,1.0,0,0,0.0,0.0,1,0,38,45,84.44,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,franco aragon,1994,franco aragon|1994,,,,ar ARG,,franco aragon|1994
franco armani,GK,River Plate,37,1986,22.0,0,0,0.0,0.0,0,0,472,550,85.82,0,0,0,0,16.0,0.73,68.0,51.0,80.9,9.0,40.9,4.0,3.0,1.0,0.0,19.7,0.24,3.7,0.17,58.0,124.0,46.8,395.0,109.0,21.5,28.7,10.0,4.5,21.0,0.95,15.7,True,37.0,franco armani,1986,franco armani|1986,119634.0,700000.0,2025-10-17,ar ARG,100.0,franco armani|1986
franco baldassarra,"MF,FW",Platense,25,1998,3.5,0,0,0.1,0.5,6,2,73,114,64.04,14,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,franco baldassarra,1998,franco baldassarra|1998,655678.0,400000.0,2025-10-17,ar ARG,100.0,franco baldassarra|1998
franco diaz,MF,Newell's OB,23,2000,0.5,0,0,0.0,0.0,1,0,20,30,66.67,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,franco diaz,2000,franco diaz|2000,748060.0,500000.0,2025-10-17,ar ARG,100.0,franco diaz|2000
franco ibarra,MF,Rosario Central,22,2001,19.8,0,1,0.3,0.3,11,0,623,847,73.55,88,57,44,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,franco ibarra,2001,franco ibarra|2001,741685.0,3500000.0,2025-10-17,ar ARG,100.0,franco ibarra|2001
franco jara,FW,Belgrano,35,1988,17.8,13,1,8.1,1.6,60,28,322,463,69.55,12,6,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,franco jara,1988,franco jara|1988,75035.0,200000.0,2025-10-17,ar ARG,100.0,franco jara|1988
franco mastantuono,"MF,FW",River Plate,16,2007,10.5,1,3,3.6,2.5,42,13,437,586,74.57,22,14,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16.0,franco mastantuono,2007,franco mastantuono|2007,,,,ar ARG,,franco mastantuono|2007
franco minerva,"MF,FW",Platense,17,2006,8.6,1,1,0.4,0.9,10,3,98,201,48.76,14,9,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,franco minerva,2006,franco minerva|2006,1268653.0,500000.0,2025-10-17,ar ARG,100.0,franco minerva|2006
franco moyano,MF,Talleres,26,1997,3.8,0,0,0.0,0.0,1,0,184,214,85.98,8,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco moyano,1997,franco moyano|1997,,,,ar ARG,,franco moyano|1997
franco nicola,"MF,FW",Atlé Tucumán,21,2002,7.3,1,0,1.2,0.9,11,5,152,231,65.8,20,12,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,franco nicola,2002,franco nicola|2002,1015626.0,300000.0,2025-10-17,uy URU,100.0,franco nicola|2002
franco pardo,DF,Unión,26,1997,26.0,2,1,1.3,1.0,15,4,888,1186,74.87,51,36,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco pardo,1997,franco pardo|1997,720716.0,2300000.0,2025-10-17,ar ARG,100.0,franco pardo|1997
franco paredes,DF,Sarmiento,24,1999,20.5,1,0,1.0,1.8,14,4,413,625,66.08,32,19,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,franco paredes,1999,franco paredes|1999,749016.0,800000.0,2025-10-17,ar ARG,100.0,franco paredes|1999
franco petroli,GK,Godoy Cruz,25,1998,26.0,0,0,0.0,0.0,0,0,687,998,68.84,0,0,0,0,27.0,1.04,98.0,71.0,72.4,7.0,26.9,2.0,0.0,2.0,0.0,31.2,0.31,6.2,0.24,203.0,489.0,41.5,791.0,116.0,46.0,38.1,26.0,7.5,27.0,1.04,15.6,True,25.0,franco petroli,1998,franco petroli|1998,401587.0,3200000.0,2025-10-17,ar ARG,100.0,franco petroli|1998
franco rami,MF,Belgrano,20,2003,0.1,0,0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,franco rami,2003,franco rami|2003,,,,ar ARG,,franco rami|2003
franco romero,MF,Ind. Rivadavia,23,2000,26.9,2,0,1.7,0.3,5,0,776,982,79.02,59,38,46,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,franco romero,2000,franco romero|2000,,,,ar ARG,,franco romero|2000
franco troyansky,"FW,MF",Gimnasia–LP,26,1997,2.1,1,0,0.2,0.0,5,3,41,55,74.55,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco troyansky,1997,franco troyansky|1997,,,,ar ARG,,franco troyansky|1997
franco watson,"MF,FW",Huracán,24,2000,1.8,0,0,0.1,0.4,4,1,36,62,58.06,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,franco watson,2000,franco watson|2000,654733.0,500000.0,2025-10-17,ar ARG,100.0,franco watson|2000
franco zapiola,MF,Platense,22,2001,1.9,0,0,0.1,0.0,3,0,29,46,63.04,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,franco zapiola,2001,franco zapiola|2001,909349.0,1000000.0,2025-10-17,ar ARG,100.0,franco zapiola|2001
frank fabra,"DF,MF",Boca Juniors,32,1991,2.8,0,0,0.0,0.0,0,0,96,141,68.09,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,frank fabra,1991,frank fabra|1991,156561.0,200000.0,2025-10-17,co COL,100.0,frank fabra|1991
gabriel alanis,"FW,MF",Defensa y Just,29,1994,9.5,2,3,1.9,2.0,24,6,184,270,68.15,15,11,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,gabriel alanis,1994,gabriel alanis|1994,342149.0,700000.0,2025-10-17,ar ARG,100.0,gabriel alanis|1994
gabriel aranda,DF,Banfield,22,2001,5.3,0,0,0.2,0.0,2,1,151,193,78.24,5,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,gabriel aranda,2001,gabriel aranda|2001,,,,ar ARG,,gabriel aranda|2001
gabriel arias,GK,Racing Club,36,1987,20.5,0,0,0.0,0.0,0,0,434,591,73.43,0,0,1,0,18.0,0.88,63.0,46.0,73.0,10.0,47.6,2.0,1.0,0.0,1.0,15.2,0.23,-1.8,-0.09,101.0,247.0,40.9,429.0,68.0,38.9,37.6,9.0,3.9,21.0,1.02,16.3,True,36.0,gabriel arias,1987,gabriel arias|1987,54330.0,400000.0,2025-10-17,cl CHI,100.0,gabriel arias|1987
gabriel avalos,FW,Independiente,33,1990,23.5,9,1,6.1,1.1,55,24,277,500,55.4,13,7,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,gabriel avalos,1990,gabriel avalos|1990,358418.0,1000000.0,2025-10-17,py PAR,100.0,gabriel avalos|1990
gabriel carabajal,"MF,FW",Newell's OB,32,1991,3.0,0,1,0.2,0.8,5,0,100,141,70.92,4,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gabriel carabajal,1991,gabriel carabajal|1991,,,,ar ARG,,gabriel carabajal|1991
gabriel compagnucci,"DF,MF",Belgrano,32,1991,15.6,0,3,0.5,2.3,9,1,447,654,68.35,29,19,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gabriel compagnucci,1991,gabriel compagnucci|1991,538608.0,200000.0,2025-10-17,ar ARG,100.0,gabriel compagnucci|1991
gabriel diaz,DF,Sarmiento,23,2000,11.4,0,0,0.3,0.4,7,0,264,448,58.93,26,16,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,gabriel diaz,2000,gabriel diaz|2000,906940.0,800000.0,2025-10-17,ar ARG,100.0,gabriel diaz|2000
gabriel gudino,"MF,FW",Sarmiento,31,1992,10.5,1,0,2.3,0.4,24,6,78,141,55.32,32,15,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,gabriel gudino,1992,gabriel gudino|1992,,,,ar ARG,,gabriel gudino|1992
gabriel hachen,"MF,FW",Platense,33,1990,2.5,0,0,0.7,0.0,5,2,70,111,63.06,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,gabriel hachen,1990,gabriel hachen|1990,,,,ar ARG,,gabriel hachen|1990
gabriel hauche,"MF,FW",Sarmiento,37,1986,4.8,0,1,1.0,0.7,9,1,69,119,57.98,12,9,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,37.0,gabriel hauche,1986,gabriel hauche|1986,,,,ar ARG,,gabriel hauche|1986
gabriel neves,"MF,FW",Independiente,26,1997,0.6,0,0,0.0,0.4,0,0,33,41,80.49,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,gabriel neves,1997,gabriel neves|1997,454181.0,2000000.0,2025-10-17,uy URU,100.0,gabriel neves|1997
gabriel rojas,"DF,MF",Racing Club,26,1997,16.9,1,1,1.0,1.2,17,5,569,799,71.21,29,20,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,gabriel rojas,1997,gabriel rojas|1997,471639.0,3000000.0,2025-10-17,ar ARG,100.0,gabriel rojas|1997
galvan vittar,FW,Cen. Córdoba–SdE,19,2004,0.3,0,0,0.0,0.0,0,0,5,12,41.67,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,galvan vittar,2004,galvan vittar|2004,,,,ar ARG,,galvan vittar|2004
gary medel,"DF,MF",Boca Juniors,36,1987,6.2,0,0,0.0,0.1,1,0,396,425,93.18,8,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,gary medel,1987,gary medel|1987,,,,cl CHI,,gary medel|1987
gaspar duarte,"FW,MF",Rosario Central,21,2003,5.0,0,3,0.0,0.8,2,1,70,113,61.95,1,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,gaspar duarte,2003,gaspar duarte|2003,1297988.0,1000000.0,2025-10-17,ar ARG,100.0,gaspar duarte|2003
gaston benavidez,DF,Talleres,28,1995,22.9,1,4,2.9,2.9,21,5,985,1258,78.3,48,34,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,gaston benavidez,1995,gaston benavidez|1995,,,,ar ARG,,gaston benavidez|1995
gaston benedetti,DF,Estudiantes–LP,22,2001,15.7,1,0,1.1,0.4,10,5,697,921,75.68,32,19,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,gaston benedetti,2001,gaston benedetti|2001,843156.0,1800000.0,2025-10-17,ar ARG,100.0,gaston benedetti|2001
gaston campi,DF,San Lorenzo,32,1991,23.6,1,1,0.8,0.4,9,2,930,1153,80.66,27,20,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gaston campi,1991,gaston campi|1991,,,,ar ARG,,gaston campi|1991
gaston emanuel moreyra,MF,Godoy Cruz,24,1999,4.2,0,1,0.1,0.5,3,0,124,184,67.39,6,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,gaston emanuel moreyra,1999,gaston emanuel moreyra|1999,,,,ar ARG,,gaston emanuel moreyra|1999
gaston gil romero,MF,Ind. Rivadavia,30,1993,0.8,1,0,0.2,0.0,1,1,22,31,70.97,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,gaston gil romero,1993,gaston gil romero|1993,,,,ar ARG,,gaston gil romero|1993
gaston gomez,GK,San Lorenzo,27,1996,16.0,0,0,0.0,0.0,0,0,271,431,62.88,1,1,0,0,13.0,0.81,51.0,39.0,78.4,5.0,31.3,2.0,2.0,0.0,0.0,13.6,0.25,1.6,0.1,93.0,242.0,38.4,288.0,39.0,51.7,41.5,6.0,2.6,6.0,0.38,11.3,True,27.0,gaston gomez,1996,gaston gomez|1996,,,,ar ARG,,gaston gomez|1996
gaston lodico,MF,Instituto,25,1998,24.0,1,6,1.9,3.6,32,4,1193,1479,80.66,48,29,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,gaston lodico,1998,gaston lodico|1998,563878.0,3800000.0,2025-10-17,ar ARG,100.0,gaston lodico|1998
gaston martirena,"DF,MF",Racing Club,24,2000,21.7,3,5,1.0,4.8,29,6,721,1020,70.69,37,27,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,gaston martirena,2000,gaston martirena|2000,744324.0,6000000.0,2025-10-17,uy URU,100.0,gaston martirena|2000
gaston sauro,DF,Sarmiento,33,1990,7.0,0,0,0.2,0.0,4,1,110,142,77.46,5,1,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,gaston sauro,1990,gaston sauro|1990,,,,ar ARG,,gaston sauro|1990
gaston suso,DF,Platense,32,1991,27.0,0,0,0.9,0.1,17,2,435,625,69.6,36,25,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gaston suso,1991,gaston suso|1991,469776.0,350000.0,2025-10-17,ar ARG,100.0,gaston suso|1991
gaston veron,"FW,MF",Arg Juniors,22,2001,10.0,0,0,2.3,0.9,37,6,165,239,69.04,8,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,gaston veron,2001,gaston veron|2001,564001.0,2000000.0,2025-10-17,ar ARG,100.0,gaston veron|2001
german conti,"DF,MF",Racing Club,29,1994,2.2,0,0,0.0,0.1,0,0,62,81,76.54,6,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,german conti,1994,german conti|1994,284321.0,250000.0,2025-10-17,ar ARG,100.0,german conti|1994
