player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
facundo suarez|1994,facundo suarez,1994,ar ARG,702259.0,700000.0,2025-10-17,100.0
favio cabral|2001,favio cabral,2001,ar ARG,748210.0,150000.0,2025-10-17,100.0
federico aguirre|2002,federico aguirre,2002,ar ARG,,,,
federico andueza|1997,federico andueza,1997,uy URU,,,,
federico fattori|1992,federico fattori,1992,ar ARG,357956.0,650000.0,2025-10-17,100.0
federico fernandez|1989,federico fernandez,1989,ar ARG,,,,
federico gattoni|1999,federico gattoni,1999,ar ARG,660735.0,1300000.0,2025-10-17,100.0
federico girotti|1999,federico girotti,1999,ar ARG,639149.0,2200000.0,2025-10-17,100.0
federico mancuello|1989,federico mancuello,1989,ar ARG,96313.0,250000.0,2025-10-17,100.0
federico medina|2004,federico medina,2004,ar ARG,,,,
federico milo|1992,federico milo,1992,ar ARG,,,,
federico paradela|1999,federico paradela,1999,ar ARG,890130.0,75000.0,2025-10-17,100.0
federico rasmussen|1992,federico rasmussen,1992,ar ARG,131219.0,375000.0,2025-10-17,100.0
federico vera|1998,federico vera,1998,ar ARG,829967.0,1500000.0,2025-10-17,100.0
felipe aguilar|1993,felipe aguilar,1993,co COL,,,,
felipe loyola|2000,felipe loyola,2000,cl CHI,843286.0,9000000.0,2025-10-17,100.0
felipe pena|2001,felipe pena,2001,ar ARG,,,,
felipe sanchez|2004,felipe sanchez,2004,ar ARG,,,,
felipe zenobio|2000,felipe zenobio,2000,ar ARG,826527.0,3000000.0,2025-10-17,100.0
fernando alarcon|1994,fernando alarcon,1994,ar ARG,376853.0,1500000.0,2025-10-17,100.0
fernando benitez|2000,fernando benitez,2000,ar ARG,,,,
fernando david cardozo|2001,fernando david cardozo,2001,py PAR,,,,
fernando godoy|1990,fernando godoy,1990,ar ARG,,,,
fernando juarez|1998,fernando juarez,1998,ar ARG,439627.0,800000.0,2025-10-17,100.0
fernando martinez|2000,fernando martinez,2000,ar ARG,880025.0,100000.0,2025-10-17,100.0
fernando meza|1990,fernando meza,1990,ar ARG,,,,
fernando romero|2000,fernando romero,2000,py PAR,,,,
fernando tobio|1989,fernando tobio,1989,ar ARG,69802.0,200000.0,2025-10-17,100.0
fernando zuqui|1991,fernando zuqui,1991,ar ARG,,,,
flabian londono|2000,flabian londono,2000,co COL,,,,
florian monzon|2001,florian monzon,2001,ar ARG,756993.0,2000000.0,2025-10-17,100.0
francesco lo celso|2000,francesco lo celso,2000,ar ARG,642757.0,50000.0,2025-10-17,100.0
francis mac allister|1995,francis mac allister,1995,ar ARG,440380.0,400000.0,2025-10-17,100.0
francisco alvarez|2000,francisco alvarez,2000,ar ARG,565766.0,4000000.0,2025-10-17,100.0
francisco bonfiglio|2002,francisco bonfiglio,2002,es ESP,,,,
francisco facello|2003,francisco facello,2003,ar ARG,1159862.0,50000.0,2025-10-17,100.0
francisco flores|2002,francisco flores,2002,ar ARG,,,,
francisco fydriszewski|1993,francisco fydriszewski,1993,ar ARG,,,,
francisco gerometta|1999,francisco gerometta,1999,ar ARG,745789.0,250000.0,2025-10-17,100.0
francisco gonzalez|1997,francisco gonzalez,1997,ar ARG,442679.0,2200000.0,2025-10-17,95.0
francisco marco|2003,francisco marco,2003,ar ARG,,,,
francisco montoro|2004,francisco montoro,2004,ar ARG,,,,
francisco perruzzi|2001,francisco perruzzi,2001,ar ARG,963139.0,300000.0,2025-10-17,100.0
francisco petrasso|2002,francisco petrasso,2002,ar ARG,,,,
francisco pizzini|1993,francisco pizzini,1993,ar ARG,213122.0,1800000.0,2025-10-17,100.0
franco alfonso|2002,franco alfonso,2002,ar ARG,988412.0,400000.0,2025-10-17,100.0
franco aragon|1994,franco aragon,1994,ar ARG,,,,
franco armani|1986,franco armani,1986,ar ARG,119634.0,700000.0,2025-10-17,100.0
franco baldassarra|1998,franco baldassarra,1998,ar ARG,655678.0,400000.0,2025-10-17,100.0
franco diaz|2000,franco diaz,2000,ar ARG,748060.0,500000.0,2025-10-17,100.0
franco ibarra|2001,franco ibarra,2001,ar ARG,741685.0,3500000.0,2025-10-17,100.0
franco jara|1988,franco jara,1988,ar ARG,75035.0,200000.0,2025-10-17,100.0
franco mastantuono|2007,franco mastantuono,2007,ar ARG,,,,
franco minerva|2006,franco minerva,2006,ar ARG,1268653.0,500000.0,2025-10-17,100.0
franco moyano|1997,franco moyano,1997,ar ARG,,,,
franco nicola|2002,franco nicola,2002,uy URU,1015626.0,300000.0,2025-10-17,100.0
franco pardo|1997,franco pardo,1997,ar ARG,720716.0,2300000.0,2025-10-17,100.0
franco paredes|1999,franco paredes,1999,ar ARG,749016.0,800000.0,2025-10-17,100.0
franco petroli|1998,franco petroli,1998,ar ARG,401587.0,3200000.0,2025-10-17,100.0
franco rami|2003,franco rami,2003,ar ARG,,,,
franco romero|2000,franco romero,2000,ar ARG,,,,
franco troyansky|1997,franco troyansky,1997,ar ARG,,,,
franco watson|2000,franco watson,2000,ar ARG,654733.0,500000.0,2025-10-17,100.0
franco zapiola|2001,franco zapiola,2001,ar ARG,909349.0,1000000.0,2025-10-17,100.0
frank fabra|1991,frank fabra,1991,co COL,156561.0,200000.0,2025-10-17,100.0
gabriel alanis|1994,gabriel alanis,1994,ar ARG,342149.0,700000.0,2025-10-17,100.0
gabriel aranda|2001,gabriel aranda,2001,ar ARG,,,,
gabriel arias|1987,gabriel arias,1987,cl CHI,54330.0,400000.0,2025-10-17,100.0
gabriel avalos|1990,gabriel avalos,1990,py PAR,358418.0,1000000.0,2025-10-17,100.0
gabriel carabajal|1991,gabriel carabajal,1991,ar ARG,,,,
gabriel compagnucci|1991,gabriel compagnucci,1991,ar ARG,538608.0,200000.0,2025-10-17,100.0
gabriel diaz|2000,gabriel diaz,2000,ar ARG,906940.0,800000.0,2025-10-17,100.0
gabriel gudino|1992,gabriel gudino,1992,ar ARG,,,,
gabriel hachen|1990,gabriel hachen,1990,ar ARG,,,,
gabriel hauche|1986,gabriel hauche,1986,ar ARG,,,,
gabriel neves|1997,gabriel neves,1997,uy URU,454181.0,2000000.0,2025-10-17,100.0
gabriel rojas|1997,gabriel rojas,1997,ar ARG,471639.0,3000000.0,2025-10-17,100.0
galvan vittar|2004,galvan vittar,2004,ar ARG,,,,
gary medel|1987,gary medel,1987,cl CHI,,,,
gaspar duarte|2003,gaspar duarte,2003,ar ARG,1297988.0,1000000.0,2025-10-17,100.0
gaston benavidez|1995,gaston benavidez,1995,ar ARG,,,,
gaston benedetti|2001,gaston benedetti,2001,ar ARG,843156.0,1800000.0,2025-10-17,100.0
gaston campi|1991,gaston campi,1991,ar ARG,,,,
gaston emanuel moreyra|1999,gaston emanuel moreyra,1999,ar ARG,,,,
gaston gil romero|1993,gaston gil romero,1993,ar ARG,,,,
gaston gomez|1996,gaston gomez,1996,ar ARG,,,,
gaston lodico|1998,gaston lodico,1998,ar ARG,563878.0,3800000.0,2025-10-17,100.0
gaston martirena|2000,gaston martirena,2000,uy URU,744324.0,6000000.0,2025-10-17,100.0
gaston sauro|1990,gaston sauro,1990,ar ARG,,,,
gaston suso|1991,gaston suso,1991,ar ARG,469776.0,350000.0,2025-10-17,100.0
gaston veron|2001,gaston veron,2001,ar ARG,564001.0,2000000.0,2025-10-17,100.0
german conti|1994,german conti,1994,ar ARG,284321.0,250000.0,2025-10-17,100.0
german pezzella|1991,german pezzella,1991,ar ARG,113133.0,1300000.0,2025-10-17,100.0
geronimo heredia|2005,geronimo heredia,2005,ar ARG,1173433.0,500000.0,2025-10-17,100.0
geronimo montivero|2005,geronimo montivero,2005,ar ARG,,,,
geronimo rivera|2003,geronimo rivera,2003,ar ARG,,,,
gian nardelli|2000,gian nardelli,2000,ar ARG,,,,
gianluca ferrari|1997,gianluca ferrari,1997,ar ARG,340507.0,500000.0,2025-10-17,100.0
gino peruzzi|1992,gino peruzzi,1992,ar ARG,,,,
giovani chiaverano|2005,giovani chiaverano,2005,ar ARG,1192376.0,150000.0,2025-10-17,100.0
giovanni bogado|2001,giovanni bogado,2001,py PAR,,,,
giuliano cerato|1998,giuliano cerato,1998,ar ARG,,,,
gonzalo abrego|2000,gonzalo abrego,2000,ar ARG,836493.0,2000000.0,2025-10-17,100.0
gonzalo alvez|2003,gonzalo alvez,2003,ar ARG,,,,
gonzalo bravo|1990,gonzalo bravo,1990,ar ARG,,,,
gonzalo goni|1998,gonzalo goni,1998,ar ARG,594104.0,500000.0,2025-10-17,100.0
gonzalo lujan|2001,gonzalo lujan,2001,ar ARG,,,,
